Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;66500;116160;Campo Grande
Hyundai;Creta;1.0 TGDI FLEX COMFORT PLUS AUTOMÁTICO;2023/2024;54425;117070;Niterói
Hyundai;Creta;1.0 TGDI FLEX COMFORT PLUS AUTOMÁTICO;2023/2024;56863;117070;Uberlândia
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2024;74135;118190;Curitiba
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2023;51460;118330;João Pessoa
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2024;64797;119570;Ribeirão Preto
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2023;45330;119890;Fortaleza
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2023;15966;120160;Taboão da Serra
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;48923;120930;Belém
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;44613;120930;Serra
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;41732;120930;Santa Maria
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;53856;122330;Duque de Caxias
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2024;59039;123110;Santos
Volkswagen;T-cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2022/2023;37644;123990;Rio de Janeiro
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2024;51481;124110;Recife
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2024;57323;124110;Cuiabá
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2024;57516;124110;Santos
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2024;46514;124490;Ananindeua
Jeep;Renegade;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2024;16840;124850;Santo André
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2024/2024;21285;126000;Cascavel
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2024/2024;11593;128520;Taboão da Serra
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2023/2024;13458;128520;Taboão da Serra
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2024/2024;7559;128770;São Paulo
Fiat;Toro;1.3 TURBO 270 FLEX FREEDOM AT6;2023/2024;70490;128970;São Paulo
Jeep;Compass;1.3 T270 TURBO FLEX LONGITUDE AT6;2023/2023;47422;141090;Rio de Janeiro
Jeep;Compass;2.0 TD350 TURBO DIESEL LONGITUDE AT9;2022/2022;51890;142270;Rio de Janeiro
Fiat;Toro;2.0 16V TURBO DIESEL VOLCANO 4WD AT9;2023/2023;42606;142990;Natal
Volkswagen;Taos;1.4 250 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2023;43290;145640;Canoas
Volkswagen;Taos;1.4 250 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023/2023;42649;147110;Fortaleza
Peugeot;3008;1.6 16V THP GASOLINA GRIFFE AUTOMÁTICO;2022/2023;51078;165260;Contagem
Jeep;Commander;1.3 T270 TURBO FLEX LIMITED AT6;2023/2023;65359;168920;Duque de Caxias
Peugeot;3008;1.6 16V THP GASOLINA GRIFFE AUTOMÁTICO;2022/2023;59463;171140;São Paulo
Volkswagen;Amarok;3.0 V6 TDI DIESEL COMFORTLINE CD 4MOTION AUTOMÁTICO;2022/2023;51563;200050;Goiânia
Audi;A3;2.0 40 TFSI MHEV SEDAN PERFORMANCE BLACK S-TRONIC;2023/2023;50718;229160;Belo Horizonte
Audi;Q3;2.0 40 TFSI GASOLINA SPORTBACK PERFORMANCE QUATTRO TIPTRONIC;2023/2024;43907;291760;Campinas
Audi;Q3;2.0 40 TFSI GASOLINA SPORTBACK PERFORMANCE QUATTRO TIPTRONIC;2023/2024;50283;304270;Ribeirão Preto
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2023/2024;70626;52470;São Paulo
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021/2022;61702;52510;São José do Rio Preto
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2023/2024;67000;53080;Salvador
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2023/2024;69103;53080;Contagem
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2023/2024;60497;53080;Bauru
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021/2022;59285;54260;Porto Alegre
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2023;51356;54510;Santa Maria
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021/2022;45575;54700;Recife
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021/2022;42118;54700;Americana
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021/2022;45575;54700;Recife
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021/2022;48301;54700;Rio de Janeiro
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2023/2024;52000;54860;Campo Grande
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2023;59631;55060;Porto Alegre
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2023;59631;55060;Canoas
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2022/2023;59000;55060;Salvador
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2023/2024;41448;55250;Cuiabá
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2023/2024;48000;55250;Belém
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021/2022;25903;55520;Porto Alegre
